"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","437","1","contour","0.1","0.3163411617279053","0.5685","0.7971"
"TS","0","438","1","contour","0.1","0.39235490560531616","0.3841","0.8464"
"TS","0","439","1","contour","0.1","0.23925819993019104","0.5235","0.8559"
"TS","0","440","1","contour","0.25","0.21269217133522034","0.7273","0.8534"
"TS","0","441","1","contour","0.25","0.33605319261550903","0.6489","0.8457"
"TS","0","442","1","contour","0.25","0.27974581718444824","0.7004","0.8341"
"TS","0","443","1","contour","0.25","0.31575319170951843","0.6231","0.782"
"TS","0","444","1","contour","0.25","0.355592280626297","0.5478","0.818"
"TS","0","445","1","contour","0.25","0.3887091279029846","0.4439","0.8323"
"TS","0","446","1","contour","0.25","0.24066928029060364","0.741","0.8604"
"TS","0","447","1","contour","0.25","0.3145768642425537","0.69","0.8398"
"TS","0","448","1","contour","0.25","0.2493772804737091","0.735","0.8747"
"TS","0","449","1","contour","0.25","0.40961915254592896","0.3903","0.8871"
"TS","0","450","1","contour","0.25","0.34107303619384766","0.5753","0.8224"
"TS","0","451","1","contour","0.25","0.25642383098602295","0.7277","0.8433"
"TS","0","452","1","contour","0.25","0.3567432761192322","0.6753","0.8021"
"TS","0","453","1","contour","0.25","0.2296881228685379","0.7244","0.8563"
"TS","0","454","1","contour","0.25","0.2736678719520569","0.6483","0.8446"
"TS","0","455","1","contour","0.25","0.2783675491809845","0.7367","0.8033"
"TS","0","456","1","contour","0.25","0.27521225810050964","0.6714","0.8226"
"TS","0","457","1","contour","0.25","0.3966137766838074","0.422","0.8611"
"TS","0","458","1","contour","0.25","0.3788383901119232","0.7445","0.6822"
"TS","0","459","1","contour","0.25","0.3363850712776184","0.4578","0.8251"
"TS","0","460","1","contour","0.25","0.24338290095329285","0.7287","0.8607"
"TS","0","461","1","contour","0.25","0.2951275706291199","0.738","0.8239"
"TS","0","462","1","contour","0.25","0.7391928434371948","0.3234","0.8601"
