"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","1458","5","contour","0.25","0.2528126835823059","0.6272","0.8468"
"TS","0","1459","5","contour","0.25","0.3263859748840332","0.5197","0.8398"
"TS","0","1460","5","contour","0.25","0.34235575795173645","0.5069","0.8454"
"TS","0","1461","5","contour","0.25","0.29429692029953003","0.6607","0.8408"
"TS","0","1462","5","contour","0.25","0.2785438895225525","0.7137","0.8382"
"TS","0","1463","5","contour","0.25","0.36973708868026733","0.478","0.8263"
"TS","0","1464","5","contour","0.25","0.34554967284202576","0.5171","0.8114"
"TS","0","1465","5","contour","0.25","0.30889055132865906","0.6629","0.8261"
"TS","0","1466","5","contour","0.25","0.31667691469192505","0.5859","0.8321"
"TS","0","1467","5","contour","0.25","0.33040300011634827","0.5402","0.867"
"TS","0","1468","5","contour","0.25","0.33217698335647583","0.5282","0.8619"
"TS","0","1469","5","contour","0.25","0.34703341126441956","0.6365","0.7836"
"TS","0","1470","5","contour","0.25","0.3540939688682556","0.499","0.8222"
"TS","0","1471","5","contour","0.25","0.32992878556251526","0.4274","0.8472"
"TS","0","1472","5","contour","0.25","0.2842336893081665","0.6167","0.8646"
"TS","0","1473","5","contour","0.25","0.30150118470191956","0.6919","0.826"
"TS","0","1474","5","contour","0.25","0.29139474034309387","0.6765","0.8319"
"TS","0","1475","5","contour","0.25","0.3505897521972656","0.4477","0.847"
"TS","0","1476","5","contour","0.25","0.33536624908447266","0.5887","0.8089"
"TS","0","1477","5","contour","0.25","0.4080706536769867","0.4538","0.8426"
"TS","0","1478","5","contour","0.25","0.36733853816986084","0.4144","0.8703"
"TS","0","1479","5","contour","0.25","0.4062233567237854","0.5172","0.8137"
"TS","0","1480","5","contour","0.5","0.30668097734451294","0.6873","0.8077"
"TS","0","1481","5","contour","0.5","0.4126432538032532","0.2752","0.8521"
"TS","0","1482","5","contour","0.5","0.332291841506958","0.5702","0.811"
"TS","0","1483","5","contour","0.5","0.28235214948654175","0.6488","0.8309"
"TS","0","1484","5","contour","0.5","0.30580854415893555","0.4617","0.8532"
"TS","0","1485","5","contour","0.5","0.3412574827671051","0.4705","0.8442"
"TS","0","1486","5","contour","0.5","0.2597295939922333","0.6726","0.8656"
"TS","0","1487","5","contour","0.5","0.2960836887359619","0.6669","0.8466"
"TS","0","1488","5","contour","0.5","0.30695220828056335","0.5005","0.8732"
"TS","0","1489","5","contour","0.5","0.2983819544315338","0.5839","0.8405"
"TS","0","1490","5","contour","0.5","0.3860242962837219","0.3633","0.8545"
"TS","0","1491","5","contour","0.5","0.4139389991760254","0.4163","0.846"
"TS","0","1492","5","contour","0.5","0.3066747486591339","0.4244","0.8634"
"TS","0","1493","5","contour","0.5","0.2960681915283203","0.743","0.8461"
"TS","0","1494","5","contour","0.5","0.2977774739265442","0.5904","0.8817"
"TS","0","1495","5","contour","0.5","0.34801292419433594","0.4845","0.8193"
"TS","0","1496","5","contour","0.5","0.3494870066642761","0.5357","0.8064"
"TS","0","1497","5","contour","0.5","0.2918069064617157","0.5107","0.8612"
"TS","0","1498","5","contour","0.5","0.32875293493270874","0.4144","0.8483"
"TS","0","1499","5","contour","0.5","0.261495977640152","0.6908","0.8507"
"TS","0","1500","5","contour","0.5","0.347016841173172","0.6485","0.8235"
"TS","0","1501","5","contour","0.5","0.3325735032558441","0.5335","0.8261"
"TS","0","1502","5","contour","0.5","0.30456042289733887","0.6011","0.8525"
