"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TR","12","66","8","skeleton region point grid contour skeleton region point","0.832 0.609 10 0.681 0.672 0.375 0.274 38","0.17371883988380432","null","null"
"TR","12","67","19","region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour","0.627 38 0.384 0.471 0.544 0.536 47 0.618 0.165 0.274 0.101 11 0.566 0.624 0.916 0.503 32 0.22 0.645","0.14350751042366028","null","null"
"TR","12","68","11","point grid contour skeleton region point grid contour skeleton region point","18 0.127 0.666 0.199 0.923 44 0.472 0.576 0.458 0.449 24","0.1511995494365692","null","null"
"TR","12","69","13","grid contour skeleton region point grid contour skeleton region point grid contour skeleton","0.434 0.819 0.833 0.231 22 0.555 0.23 0.547 0.758 17 0.812 0.231 0.458","0.1874350607395172","null","null"
"TR","12","70","2","grid contour","0.708 0.614","0.16134831309318542","null","null"
"TR","12","71","1","contour","0.979","0.19700351357460022","null","null"
"TR","12","72","11","grid contour skeleton region point grid contour skeleton region point grid","0.436 0.911 0.916 0.469 24 0.118 0.705 0.752 0.13 42 0.543","0.12418849766254425","null","null"
"TR","12","73","6","grid contour skeleton region point grid","0.38 0.205 0.131 0.398 19 0.705","0.14241810142993927","null","null"
"TR","12","74","4","region point grid contour","0.932 14 0.106 0.282","0.13734619319438934","null","null"
"TR","12","75","15","skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour","0.941 0.864 39 0.693 0.791 0.53 0.258 23 0.166 0.573 0.285 0.428 43 0.459 0.969","0.14163994789123535","null","null"
"TR","12","76","16","skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton","0.548 0.479 35 0.412 0.87 0.568 0.262 47 0.43 0.405 0.915 0.564 11 0.428 0.533 0.455","0.17815080285072327","null","null"
"TR","12","77","13","contour skeleton region point grid contour skeleton region point grid contour skeleton region","0.57 0.263 0.709 48 0.248 0.962 0.932 0.741 29 0.773 0.684 0.202 0.593","0.17656739056110382","null","null"
"TR","12","78","8","region point grid contour skeleton region point grid","0.933 35 0.561 0.119 0.525 0.564 17 0.72","0.11675852537155151","null","null"
"TR","12","79","16","region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region","0.422 15 0.833 0.831 0.945 0.643 5 0.19 0.169 0.979 0.303 39 0.998 0.98 0.805 0.685","0.1867937594652176","null","null"
"TR","12","80","14","grid contour skeleton region point grid contour skeleton region point grid contour skeleton region","0.987 0.465 0.826 0.648 25 0.72 0.887 0.534 0.733 26 0.251 0.223 0.874 0.43","0.1800169050693512","null","null"
"TR","12","81","13","skeleton region point grid contour skeleton region point grid contour skeleton region point","0.279 0.426 17 0.444 0.578 0.287 0.463 12 0.26 0.43 0.781 0.378 40","0.17741292715072632","null","null"
"TR","12","82","13","point grid contour skeleton region point grid contour skeleton region point grid contour","14 0.295 0.359 0.839 0.48 26 0.328 0.938 0.39 0.662 6 0.689 0.447","0.26510292291641235","null","null"
"TR","12","83","3","contour skeleton region","0.116 0.577 0.465","0.12121634185314178","null","null"
"TR","12","84","7","grid contour skeleton region point grid contour","0.825 0.565 0.576 0.515 48 0.239 0.583","0.12083272635936737","null","null"
"TR","12","85","10","contour skeleton region point grid contour skeleton region point grid","0.317 0.12 0.128 13 0.531 0.151 0.565 0.68 9 0.66","0.1547655165195465","null","null"
"TR","12","86","7","grid contour skeleton region point grid contour","0.488 0.987 0.138 0.74 48 0.101 0.731","0.22481851279735565","null","null"
"TR","12","87","1","region","0.179","0.14711831510066986","null","null"
"TR","12","88","17","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid","7 0.699 0.636 0.238 0.752 6 0.934 0.671 0.9 0.807 38 0.511 0.193 0.516 0.372 41 0.822","0.22078755497932434","null","null"
"TR","12","89","12","grid contour skeleton region point grid contour skeleton region point grid contour","0.136 0.407 0.313 0.373 6 0.773 0.776 0.164 0.963 24 0.748 0.633","0.15899093449115753","null","null"
"TR","12","90","1","point","10","0.28821229934692383","null","null"
"TR","12","91","1","point","29","0.18100357055664062","null","null"
